UWI,EventSequence,CoreAnalysisNumber,CoreNumber,IntervalTop,IntervalDepth,IntervalLength,KMax,K90,KVert,Porosity,GrainDensity,BulkDensity,BulkMassOil,BulkMassWater,BulkMassSand,PoreVolumeOil,PoreVolumeWater,BulkVolumeOil,BulkVolumeWater,GrainMassOil,GrainMassWater,Lithology,Expr1
1AA013608509W400,0,111554,1,366.43,366.43,0.43,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,2,366.43,366.86,0.67,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,2,366.43,367.53,1.67,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,3,366.43,369.20,1.19,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,4,366.43,370.39,0.62,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,4,366.43,371.01,2.48,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,5,366.43,373.49,1.64,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,6,366.43,375.13,2.05,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,7,366.43,377.18,1.18,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,7,366.43,378.36,1.80,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,9,366.43,380.16,3.12,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,10,366.43,383.28,0.27,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,10,366.43,383.55,0.39,,,,0.206,,,,0.0890,,0.0000,1.0000,,,,,,True
1AA013608509W400,0,111554,10,366.43,383.94,0.04,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,11,366.43,383.98,0.40,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,12,366.43,384.38,1.01,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,12,366.43,385.39,0.45,,,,0.304,,,0.0620,0.0800,,0.4360,0.5640,,,,,,True
1AA013608509W400,0,111554,12,366.43,385.84,0.22,,,,0.225,,,0.0050,0.0940,,0.0480,0.9520,,,,,,True
1AA013608509W400,0,111554,12,366.43,386.06,0.10,,,,,,,,,,,,,,,,OB,True
1AA013608509W400,0,111554,12,366.43,386.16,0.10,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,12,366.43,386.26,0.33,,,,0.309,,,0.0550,0.0890,,0.3820,0.6180,,,,,,True
1AA013608509W400,0,111554,13,366.43,386.59,0.14,,,,0.310,,,0.0560,0.0890,,0.3840,0.6160,,,,,,True
1AA013608509W400,0,111554,13,366.43,386.73,0.35,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,14,366.43,387.08,1.60,,,,,,,,,,,,,,,,,True
1AA013608509W400,0,111554,14,366.43,388.68,0.09,,,,,,,,,,,,,,,,OB,True
1AA013608509W400,0,111554,14,366.43,388.77,0.33,,,,,,,,,,,,,,,,,True
