 SCIENTIFIC DRILLING INTERNATIONAL
 COMPANY 		: Suncor Energy Inc.
 FIELD   		: Firebag
 SITE    		: 2-10-95-6 W4M (PAD 105)
 WELL   		: Suncor P105N18 Firebag 3-3-95-6
 WELLPATH		: 105/03-03-095-06W4/00
 LICENSE		: 0484034
 DESIGN			: Final Surveys (P105N18)
 MAP SYSTEM		: Universal Transverse Mercator
 GEODIC DATUM		: North American Datum 1983
 MAP ZONE		: Zone 12N (114 W to 108 W)
 CALCULATION METHOD	: Minimum Curvature

 GRID COORDINATES					    ,   ,   , GEOGRAPHIC COORDINATES	 
 EASTING 		: 507061.35 m    ,   ,   , 			LATITUDE		: 57° 13' 17.825 N
 NORTHING 		: 6342061.91 m    ,   ,   , 		LONGITUDE		: 110° 52' 59.029 W
 VSECT DIREC 		: 192.23 deg 
 NORTH REF		: True
 GRID CONVERGENCE	: 0.10 deg 
 KB ELEV  		: 604.51 m 
 GL ELEV 		: 598.91 m 
 SURVEY DATE		: 9/22/2017

 MAGNETIC MODEL		: USER DEFINED
 REFERENCE DATE		: 10/13/2017
 FIELD STRENGTH		: 57898.00 nT 
 DIP ANGLE		: 78.42 deg 
 DECLINATION		: 12.28 deg 

 , , , , , Local Coordinates, ,UTM Coordinates
Measured Depth,Incl.,Azim.,Sub-Sea Depth,Vertical Depth,+N/S-,+E/W-,Northings,Eastings,Vertical Section,Dogleg Rate
     m    ,  ,    m    ,      m    ,       m    ,     m    ,     m     ,           m     ,       m     ,      m     ,    °/30m   ,
     0.00,    0.000,    0.000,    -604.51,       0.00,       0.00,    0.00, 6342061.910N,  507061.350E,      0.00,      0.00,    ,
     5.60,    0.000,    0.000,    -598.91,       5.60,       0.00,    0.00, 6342061.910N,  507061.350E,      0.00,      0.00,   GL = 5.6m - UNDEFINED,
    10.00,    0.320,  351.390,    -594.51,      10.00,       0.01,    0.00, 6342061.922N,  507061.348E,     -0.01,      2.18,   Standard Keeper 104 (1),
    17.80,    0.577,  351.390,    -586.71,      17.80,       0.07,   -0.01, 6342061.983N,  507061.339E,     -0.07,      0.99,   Conductor = 17.8m,
    20.00,    0.650,  351.390,    -584.51,      20.00,       0.10,   -0.01, 6342062.006N,  507061.335E,     -0.09,      0.99,    ,
    30.00,    0.700,  323.040,    -574.51,      30.00,       0.20,   -0.06, 6342062.111N,  507061.290E,     -0.18,      1.00,    ,
    34.00,    0.850,  290.645,    -570.51,      34.00,       0.23,   -0.10, 6342062.141N,  507061.247E,     -0.20,      3.42,   KOP = 34.00m,
    40.00,    1.360,  266.210,    -564.51,      40.00,       0.24,   -0.21, 6342062.151N,  507061.135E,     -0.19,      3.42,    ,
    50.00,    2.460,  241.840,    -554.52,      49.99,       0.13,   -0.52, 6342062.042N,  507060.827E,     -0.02,      4.03,    ,
    60.00,    3.440,  235.280,    -544.53,      59.98,      -0.14,   -0.96, 6342061.769N,  507060.392E,      0.34,      3.10,    ,
