
                                              Design Report       15-May-2019 15:55:27

Client...................: Suncor Energy
Field....................: Firebag(NAD83)
Well.....................: SUNCOR P123P8 FIREBAG 8-31-94-5   
Wellbore.................: 102/8-31(P123P8) Lic #0490457     
Design/Survey............: 102/8-31(P123P8) - Final Survey   
U.W.I....................: 102083109405W400
Bottom Hole Location.....: .


----- Survey calculation methods-------------                ----- Geomagnetic data ----------------------
Method for positions.....: Minimum Curvature                 Magnetic model...........: BGGM2018
                                                             Magnetic field strength..:   58448.80 HCNT
                                                             Magnetic dec (+E/W-).....:      14.37 degrees
                                                             Magnetic dip.............:      78.35 degrees

----- Depth reference -----------------------                ----- Corrections --------------------------
Depth reference..........: Actual RKB                                Magnetic dec (+E/W-).....:     14.374 degrees
Ground Level.......:     584.50 m                            Grid convergence (+E/W-).:       0.18  degrees
KB.......:    593.70 m                                       Total az corr (+E/W-)....:      14.37  degrees

----- Site Location---------------                        
Site Latitude:57° 11' 6.251 N
Site Longitude :110° 47' 31.263 W
Site Northing :6338006.50m
Site Easting :512571.70m

----- Well Location---------------    
Well Latitude :57° 11' 5.279 N
Well Longitude :110° 47' 30.077 W
Well Northing :6337976.50m
Well Easting :512591.70m

----- Cartographic System-------------
North American Datum 1983 Universal Transverse Mercator, Zone 12N (114 W to 108 W)
North Reference :True


----------------------------------------------------------------
MD,Inc,Azim.,SSTVD,TVD,N/S,E/W,Y,X,DLS,V.S.,Comment
(m),(Deg),(Deg),(m),(m),(m),(m),(m),(m),(dega/30m),(m)

0.000,0.000,0.000,-593.700,0.000,0.000,0.000,6337976.500,512591.700,0.000,0.000, 
9.200,0.000,0.000,-584.500,9.200,0.000,0.000,6337976.500,512591.700,0.000,0.000,RKB to GL - MWD+IFR1(fd2)-no SAG (1)
15.480,0.150,309.950,-578.220,15.480,0.005,-0.006,6337976.505,512591.694,0.717,0.004, 
24.420,0.310,358.740,-569.280,24.420,0.037,-0.016,6337976.537,512591.684,0.803,0.034, 
34.840,0.380,15.490,-558.860,34.840,0.098,-0.007,6337976.598,512591.693,0.351,0.096, 
44.370,1.190,40.990,-549.331,44.369,0.204,0.066,6337976.704,512591.766,2.716,0.211, 
53.640,2.020,56.350,-540.065,53.635,0.367,0.265,6337976.868,512591.964,3.002,0.402, 
59.000,2.530,54.570,-534.709,58.991,0.488,0.440,6337976.989,512592.139,2.881,0.548, 
75.000,3.800,52.620,-518.734,74.966,1.014,1.149,6337977.518,512592.846,2.389,1.176,Interpolation @ Surface Casing - MWD+IFR1+MS(No SAG)(fd2) (2)
81.500,4.310,52.300,-512.250,81.450,1.294,1.514,6337977.799,512593.210,2.356,1.507, 
85.330,4.991,55.785,-508.433,85.267,1.476,1.765,6337977.982,512593.461,5.774,1.725,DDE-5°
90.870,6.000,59.410,-502.918,90.782,1.759,2.214,6337978.266,512593.909,5.774,2.072, 
100.320,7.720,61.050,-493.536,100.164,2.318,3.195,6337978.827,512594.888,5.495,2.771, 
109.940,10.350,63.590,-484.036,109.664,3.015,4.534,6337979.529,512596.225,8.293,3.662, 
118.960,12.950,67.470,-475.203,118.497,3.763,6.194,6337980.282,512597.882,9.027,4.650, 
128.580,16.410,66.800,-465.898,127.802,4.711,8.439,6337981.237,512600.125,10.803,5.926, 
137.970,19.540,66.060,-456.968,136.732,5.871,11.094,6337982.405,512602.776,10.026,7.471, 
147.150,22.270,66.490,-448.393,145.307,7.188,14.093,6337983.731,512605.771,8.936,9.224, 
156.470,24.870,66.850,-439.851,153.849,8.664,17.515,6337985.217,512609.188,8.382,11.197, 
165.810,27.340,67.150,-431.465,162.235,10.269,21.298,6337986.834,512612.966,7.945,13.352, 
175.140,29.640,66.950,-423.265,170.435,12.004,25.396,6337988.582,512617.059,7.402,15.683, 
184.210,32.690,67.570,-415.505,178.195,13.818,29.724,6337990.408,512621.382,10.144,18.126, 
193.710,34.630,67.480,-407.598,186.102,15.830,34.590,6337992.436,512626.241,6.128,20.847, 
202.960,36.880,65.610,-400.092,193.608,17.984,39.546,6337994.604,512631.191,8.112,23.720, 
212.320,40.130,63.840,-392.768,200.932,20.474,44.813,6337997.111,512636.451,10.998,26.974, 
221.950,43.990,62.260,-385.619,208.081,23.400,50.561,6338000.054,512642.189,12.468,30.730, 
231.420,47.920,61.350,-379.037,214.663,26.617,56.558,6338003.290,512648.177,12.621,34.811, 
