
                                              Design Report       06-Feb-2019 10:40:14

Client...................: Suncor Energy
Field....................: Meadow Creek East(NAD83)
Well.....................: SUNCOR ETAL 7-4SL HANGSTN 3-4-85-9
Wellbore.................: 1AA/3-4 Lic #0492236              
Design/Survey............: 1AA/3-4 - Final Survey            
U.W.I....................: 1AA030408509W400
Bottom Hole Location.....: .


----- Survey calculation methods-------------                ----- Geomagnetic data ----------------------
Method for positions.....: Minimum Curvature                 Magnetic model...........: IGRF2000
                                                             Magnetic field strength..:   59161.38 HCNT
                                                             Magnetic dec (+E/W-).....:      17.32 degrees
                                                             Magnetic dip.............:      78.11 degrees

----- Depth reference -----------------------                ----- Corrections --------------------------
Depth reference..........: Actual RKB                                Magnetic dec (+E/W-).....:     17.318 degrees
Ground Level.......:     726.90 m                            Grid convergence (+E/W-).:      -0.30  degrees
KB.......:    731.25 m                                       Total az corr (+E/W-)....:      17.32  degrees

----- Site Location---------------                        
Site Latitude:56° 20' 20.957 N
Site Longitude :111° 22' 16.825 W
Site Northing :6243889.54m
Site Easting :477043.61m

----- Well Location---------------    
Well Latitude :56° 20' 14.704 N
Well Longitude :111° 21' 36.092 W
Well Northing :6243692.52m
Well Easting :477742.07m

----- Cartographic System-------------
North American Datum 1983 Universal Transverse Mercator, Zone 12N (114 W to 108 W)
North Reference :True


----------------------------------------------------------------
MD,Inc,Azim.,SSTVD,TVD,N/S,E/W,Y,X,DLS,V.S.,Comment
(m),(Deg),(Deg),(m),(m),(m),(m),(m),(m),(dega/30m),(m)

0.000,45.000,212.780,-731.250,0.000,3.660,2.360,6243696.168,477744.449,0.000,-4.355, 
6.150,45.000,212.780,-726.901,4.349,0.004,0.006,6243692.524,477742.076,0.000,-0.006,RKB to GL - MWD (fd2) (1)
33.480,44.060,211.750,-707.418,23.832,-16.201,-10.227,6243676.372,477731.759,1.301,19.159, 
43.020,43.310,213.020,-700.519,30.731,-21.766,-13.755,6243670.826,477728.201,3.629,25.747, 
52.530,42.910,214.430,-693.576,37.674,-27.171,-17.363,6243665.440,477724.565,3.291,32.245, 
62.110,44.240,214.940,-686.636,44.614,-32.601,-21.121,6243660.030,477720.778,4.308,38.845, 
71.650,44.180,215.420,-679.798,51.452,-38.038,-24.954,6243654.613,477716.917,1.069,45.490, 
81.180,43.840,214.840,-672.944,58.306,-43.453,-28.764,6243649.218,477713.079,1.660,52.106, 
90.680,43.690,214.900,-666.083,65.167,-48.844,-32.521,6243643.847,477709.294,0.491,58.672, 
100.350,43.820,214.230,-659.098,72.152,-54.351,-36.315,6243638.359,477705.471,1.493,65.356, 
109.840,44.050,212.890,-652.264,78.986,-59.838,-39.955,6243632.892,477701.803,3.028,71.940, 
119.360,44.250,212.290,-645.433,85.817,-65.425,-43.526,6243627.324,477698.202,1.460,78.571, 
128.710,44.350,212.180,-638.742,92.508,-70.949,-47.009,6243621.818,477694.690,0.405,85.101, 
138.050,44.810,212.650,-632.089,99.161,-76.483,-50.524,6243616.302,477691.147,1.818,91.656, 
147.620,45.440,212.510,-625.337,105.913,-82.197,-54.175,6243610.607,477687.465,1.999,98.438, 
157.180,45.830,212.850,-618.652,112.598,-87.950,-57.866,6243604.874,477683.745,1.442,105.272, 
166.690,46.060,212.950,-612.039,119.211,-93.688,-61.578,6243599.155,477680.003,0.760,112.107, 
176.090,46.200,213.050,-605.525,125.725,-99.372,-65.269,6243593.491,477676.282,0.503,118.883, 
185.580,46.020,212.610,-598.946,132.304,-105.119,-68.977,6243587.764,477672.544,1.153,125.722, 
195.130,45.370,211.720,-592.275,138.975,-110.904,-72.615,6243581.998,477668.876,2.859,132.556, 
204.470,45.830,211.810,-585.740,145.510,-116.577,-76.128,6243576.343,477665.333,1.492,139.229, 
214.030,45.440,211.410,-579.056,152.194,-122.398,-79.710,6243570.541,477661.721,1.518,146.062, 
227.740,45.090,211.200,-569.406,161.844,-130.719,-84.771,6243562.246,477656.617,0.833,155.798, 
241.420,44.990,211.090,-559.740,171.510,-139.003,-89.777,6243553.988,477651.567,0.278,165.474, 
255.130,44.030,210.890,-549.963,181.287,-147.243,-94.726,6243545.775,477646.575,2.123,175.081, 
268.850,44.640,211.940,-540.149,191.101,-155.425,-99.724,6243537.619,477641.534,2.086,184.667, 
282.550,44.630,212.870,-530.400,200.850,-163.551,-104.882,6243529.520,477636.334,1.431,194.292, 
