# WELL TRACE FROM PETREL 
# WELL NAME:              105141509506W400
# DEFINITIVE SURVEY:      P121P10 Definitive Survey
# WELL HEAD X-COORDINATE: 505232.18000000 (m)
# WELL HEAD Y-COORDINATE: 6344194.69000000 (m)
# WELL DATUM (KB, KB, from MSL): 597.40000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM UTM83-12 ("MENTOR:UTM83-12:NAD83 UTM, Zone 12 North, Meter") [SIS,502388]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
#===============================================================================================================================================
 0.0000000000 505232.18000 6344194.6900 597.40000000 0.0000000000 -0.000000013 0.0000000009 0.0000000000 0.0000000000 0.0000000000 359.92709773
 9.2000000000 505232.18000 6344194.6900 588.20000000 9.2000000000 -0.000000013 0.0000000009 0.0000000000 0.0000000000 0.0000000000 359.92709773
 12.605000000 505232.18341 6344194.6941 584.79500560 12.604994399 0.0034077144 0.0041196616 39.670000000 0.1800000000 1.5859030837 39.597097730
 16.010000000 505232.19363 6344194.7065 581.39004481 16.009955192 0.0136308629 0.0164785990 39.670000000 0.3600000000 1.5859030837 39.597097730
 21.030000000 505232.22692 6344194.7222 576.37018810 21.029811897 0.0469215604 0.0321821747 81.373562458 0.5369562538 2.1487339197 81.300660189
 26.050000000 505232.28660 6344194.7207 571.35055160 26.049448405 0.1066006687 0.0307038827 97.940000000 0.8400000000 2.1487339197 97.867097730
 30.765000000 505232.35868 6344194.6939 566.63619003 30.763809966 0.1786766495 0.0039435336 120.27341625 1.0649306869 2.7350934387 120.20051398
 35.480000000 505232.43801 6344194.6326 561.92226884 35.477731158 0.2580116241 -0.057421216 133.55000000 1.3900000000 2.7350934387 133.47709773
 40.180000000 505232.53512 6344194.5339 557.22433124 40.175668763 0.3551205354 -0.156066293 136.90157345 1.9881747155 3.8682323068 136.82867118
 44.880000000 505232.66104 6344194.3948 552.52810273 44.871897275 0.4810413235 -0.295162016 138.70000000 2.5900000000 3.8682323068 138.62709773
 49.560000000 505232.80548 6344194.2225 547.85352140 49.546478596 0.6254841340 -0.467541661 141.36364843 2.9224932985 2.2834866399 141.29074616
 54.240000000 505232.95936 6344194.0226 543.18033639 54.219663608 0.7793584167 -0.667399392 143.48000000 3.2600000000 2.2834866399 143.40709773
 56.620000000 505233.04118 6344193.9100 540.80441551 56.595584489 0.8611750646 -0.780025699 144.64051411 3.4493676613 2.5357133982 144.56761184
 59.000000000 505233.12533 6344193.7893 538.42896957 58.971030427 0.9453253584 -0.900658208 145.68000000 3.6400000000 2.5357133982 145.60709773
 67.000000000 505233.42959 6344193.3419 530.44732886 66.952671136 1.2495935535 -1.348121290 146.01489233 4.1199444799 1.8017891973 145.94199006
 75.000000000 505233.76883 6344192.8374 522.47050327 74.929496735 1.5888253248 -1.852605708 146.28000000 4.6000000000 1.8017891973 146.20709773
 78.220000000 505233.91525 6344192.6182 519.26132090 78.138679099 1.7352528081 -2.071790445 146.37365153 4.7949941217 1.8181195370 146.30074926
