# WELL TRACE FROM PETREL 
# WELL NAME:              111140909506W400
# DEFINITIVE SURVEY:      P121P11_Definitive_Survey
# WELL HEAD X-COORDINATE: 505711.43000000 (m)
# WELL HEAD Y-COORDINATE: 6344836.03000000 (m)
# WELL DATUM (KB, KB, from MSL): 595.60000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM UTM83-12 ("MENTOR:UTM83-12:NAD83 UTM, Zone 12 North, Meter") [SIS,502388]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
#===============================================================================================================================================
 0.0000000000 505711.43000 6344836.0300 595.60000000 0.0000000000 -0.000000009 -0.000000003 0.0795974227 0.0000000000 0.0000000000 0.0000000000
 9.2000000000 505711.43000 6344836.0300 586.40000000 9.2000000000 -0.000000009 -0.000000003 0.0795974227 0.0000000000 0.0000000000 0.0000000000
 17.770000000 505711.41659 6344836.0041 577.83006618 17.769933822 -0.013412755 -0.025886869 207.46959742 0.3900000000 1.3652275379 207.39000000
 26.340000000 505711.37635 6344835.9265 569.26052942 26.339470581 -0.053650372 -0.103546272 207.46959742 0.7800000000 1.3652275379 207.39000000
 31.150000000 505711.34536 6344835.8480 564.45128419 31.148715807 -0.084644635 -0.182004388 197.96139685 1.2372130900 3.0270778244 197.88179943
 35.960000000 505711.31260 6344835.7289 559.64288714 35.957112858 -0.117403226 -0.301143494 193.63959742 1.7100000000 3.0270778244 193.56000000
 40.575000000 505711.27916 6344835.5682 555.03083320 40.569166801 -0.150843528 -0.461777015 190.53926427 2.3680443000 4.3357739138 190.45966685
 45.190000000 505711.24339 6344835.3540 550.42097757 45.179022427 -0.186608968 -0.676016809 188.78959742 3.0300000000 4.3357739138 188.71000000
 49.793333333 505711.22166 6344835.0922 545.82517495 49.774825048 -0.208336705 -0.937780736 181.41955861 3.5282014574 4.2468491352 181.33996118
 54.396666667 505711.23015 6344834.7878 541.23195907 54.368040930 -0.199852558 -1.242199957 175.93740199 4.0699433560 4.2468491352 175.85780457
