Lab: ,AGAT LABORATORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company:,Suncor Energy Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hole ID:, SUNCOR ET AL HANGSTN 9-4-85-9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date:,06/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reported Date:,06/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dry Sieve,,,,,,,,,Full PSD Curve,,,,,,,,,,,,,,,,,,,,,MB,
,,,Depth,,10 Mesh,18 Mesh,40 Mesh,60 Mesh,100 Mesh,200 Mesh,325 Mesh,<325,PSD Total,Sieve - % Passing,,,,,,,Coulter - % Passing,,,,,,,,,,,d90,d50,d10,MBI,PSD MB Sample Comment
,,,From,To,(2mm),(1mm),(425µm),(250µm),(150µm),(75µm),(45µm),(<45µm),,(2000 µm),(1000 µm),(420 µm),(250 µm),(149 µm),(74.3 µm),(44.2 µm),(44 µm),(31 µm),(22 µm),(16 µm),(11 µm),(7.8 µm),(6.6 µm),(3.9 µm),(2.8 µm),(1.9 µm),(1.3 µm),,,,,
RC_Number,Hole_ID,SID,m,m,% wt,% wt,% wt,% wt,% wt,% wt,% wt,% Passing,%,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,µm,µm,µm,meq/100g,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,1,433.10,433.50,0.00,0.04,0.04,0.08,0.79,8.62,27.48,62.95,100.00,100.00,99.96,99.92,99.85,99.05,90.43,62.95,56.02,44.32,34.18,26.82,20.79,16.66,14.86,9.78,7.09,4.50,2.53,73.70,36.75,3.99,4.29,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,2,435.10,435.45,0.05,0.15,0.80,1.31,4.17,4.47,7.78,81.27,100.00,99.95,99.80,99.00,97.69,93.52,89.05,81.27,74.85,55.59,42.18,33.81,26.33,20.61,18.07,11.09,7.65,4.58,2.44,86.17,26.87,3.51,4.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,3,438.85,439.05,0.05,0.22,0.86,0.94,9.08,18.29,7.28,63.28,100.00,99.95,99.73,98.87,97.92,88.85,70.56,63.28,60.12,48.22,36.51,27.97,20.76,15.87,13.85,8.56,6.00,3.68,2.01,159.12,32.67,4.50,2.65,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,4,440.73,441.10,0.16,0.10,0.12,0.16,0.73,47.96,15.51,35.26,100.00,99.84,99.74,99.62,99.46,98.73,50.77,35.26,32.26,26.61,22.63,19.56,16.30,13.38,11.95,7.62,5.32,3.22,1.72,131.28,72.42,5.21,2.82,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,5,442.91,443.20,0.00,0.18,0.65,0.68,18.63,68.94,4.50,6.42,100.00,100.00,99.82,99.17,98.49,79.86,10.92,6.42,6.12,5.35,4.70,4.14,3.48,2.83,2.49,1.45,0.92,0.48,0.22,197.49,110.23,66.83,0.48,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,6,444.75,445.15,0.04,0.04,0.06,0.19,23.82,54.20,4.94,16.72,100.00,99.96,99.93,99.87,99.69,75.86,21.66,16.72,16.00,14.21,12.72,11.43,9.88,8.27,7.41,4.55,2.97,1.57,0.71,202.57,106.91,11.33,1.31,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,7,446.95,447.30,0.04,0.04,0.16,0.84,75.29,18.01,1.83,3.80,100.00,99.96,99.93,99.77,98.92,23.63,5.63,3.80,3.58,3.06,2.63,2.28,1.90,1.54,1.36,0.80,0.51,0.27,0.13,235.12,178.60,87.98,0.24,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,8,448.79,449.15,0.07,0.06,0.13,2.08,49.30,17.88,3.88,26.61,100.00,99.93,99.87,99.74,97.66,48.36,30.48,26.61,25.76,22.72,20.04,17.83,15.27,12.76,11.44,7.07,4.64,2.49,1.15,230.68,151.59,5.55,2.08,
